Class	Architecture	Topology
:Alpha_Beta	:3-Layer(aba)_Sandwich	:UDP-N-acetylmuramoyl-L-alanine:D-glutamate_ligase
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:5_Propeller	:Tachylectin-2;_Chain_A
:Mainly_Alpha	:Up-down_Bundle	:all-alpha_NTP_pyrophosphatases
:Alpha_Beta	:2-Layer_Sandwich	:Phosphorylase_Kinase;_domain_1
:Alpha_Beta	:3-Layer(bba)_Sandwich	:FAD/NAD(P)-binding_domain
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Roll	:Alpha-1-antitrypsin;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Mainly_Beta	:Roll	:Transcriptional_Co-activator_pc4;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:Topoisomerase_I;_Chain_A,_domain_4
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:2-Layer_Sandwich	:GMP_Synthetase;_Chain_A,_domain_3
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Vanillyl-alcohol_Oxidase;_Chain_A,_domain_3
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Orthogonal_Bundle	:Recoverin;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S8;_Chain:_A,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:YefM-like_fold
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Mainly_Alpha	:Up-down_Bundle	:Dbl_Homology_Domain;_Chain_A
:Alpha_Beta	:2-Layer_Sandwich	:Dihydrodipicolinate_Reductase;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Histone,_subunit_A
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Horseshoe	:Leucine-rich_repeat,_LRR_(right-handed_beta-alpha_superhelix)
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Transferase(Phosphotransferase);_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:GMP_Synthetase;_Chain_A,_domain_3
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Complex	:Spore_Coat_Polysaccharide_Biosynthesis_Protein_SpsA;_Chain_A
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Arginase;_Chain_A
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:Roll	:Mannose-Binding_Protein_A;_Chain_A
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Alpha_Beta	:2-Layer_Sandwich	:Double_Stranded_RNA_Binding_Domain
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:Roll	:Antimicrobial_Peptide,_Beta-defensin_2;_Chain_A
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:Alpha-Beta_Complex	:Cyclic_Phosphodiesterase;_Chain:_A,
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S8;_Chain:_A,_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Proline_Oxidase;_Chain:_A,_Domain_2
:Alpha_Beta	:2-Layer_Sandwich	:lpxc_deacetylase,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Few_Secondary_Structures	:Irregular	:MYOD_Basic-Helix-Loop-Helix_Domain,_subunit_B
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Orthogonal_Bundle	:GROEL;_domain_1
:Alpha_Beta	:Alpha-Beta_Complex	:Aspartate_Aminotransferase,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Alpha_Beta	:2-Layer_Sandwich	:GMP_Synthetase;_Chain_A,_domain_3
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Endonuclease;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Mainly_Alpha	:Orthogonal_Bundle	:Topoisomerase_I;_Chain_A,_domain_4
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Dimethylsulfoxide_Reductase;_domain_2
:Alpha_Beta	:Roll	:Thiol_Ester_Dehydrase;_Chain_A
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Sandwich	:Mutm_(Fpg)_Protein;_Chain:_A,_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:NE0471_N-terminal_domain-like
:Mainly_Alpha	:Orthogonal_Bundle	:Topoisomerase_I;_Chain_A,_domain_4
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S5;_domain_2
:Alpha_Beta	:Alpha-Beta_Complex	:Cytochrome_C3
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Orthogonal_Bundle	:Transferase(Phosphotransferase);_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Helicase,_Ruva_Protein;_domain_3
:Mainly_Alpha	:Orthogonal_Bundle	:Peroxidase;_domain_2
:Alpha_Beta	:Box	:Proliferating_Cell_Nuclear_Antigen
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Roll	:Diaminopimelate_Epimerase;_Chain_A,_domain_1
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:2-Layer_Sandwich	:Phosphorylase_Kinase;_domain_1
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Beta-lactamase
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Dna_Ligase;_domain_1
:Mainly_Beta	:Sandwich	:ATP_Synthase;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:Alpha-Beta_Complex	:UDP-galactose_4-epimerase;_domain_1
:Alpha_Beta	:Alpha-Beta_Complex	:Adenylylcyclase_toxin_fold
:Mainly_Beta	:Beta_Barrel	:Lipocalin
:Alpha_Beta	:2-Layer_Sandwich	:Phosphorylase_Kinase;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:GMP_Synthetase;_Chain_A,_domain_3
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Alpha	:Orthogonal_Bundle	:Farnesyl_Diphosphate_Synthase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Roll	:Pdz3_Domain
:Alpha_Beta	:Alpha-Beta_Complex	:Protein-Tyrosine_Phosphatase;_Chain_A
:Mainly_Alpha	:Up-down_Bundle	:Butyryl-CoA_Dehydrogenase,_subunit_A;_domain_3
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Alpha_Beta	:2-Layer_Sandwich	:Arylsulfatase,_C-terminal_domain
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Alpha_Beta	:Alpha-Beta_Complex	:Aldehyde_Oxidoreductase;_domain_3
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Complex	:Cyclic_Phosphodiesterase;_Chain:_A,
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Beta_Barrel	:Porin
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S8;_Chain:_A,_domain_1
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:2-Layer_Sandwich	:Potassium_Channel_Kv1.1;_Chain_A
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Up-down_Bundle	:Multidrug_efflux_transporter_AcrB_transmembrane_fold
:Mainly_Beta	:Roll	:PH-domain_like
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:Roll	:2,3-Dihydroxybiphenyl_1,2-Dioxygenase;_domain_1
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Alpha_Beta	:2-Layer_Sandwich	:Double_Stranded_RNA_Binding_Domain
:Mainly_Beta	:Beta_Barrel	:Thrombin,_subunit_H
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Mainly_Alpha	:Orthogonal_Bundle	:Helicase,_Ruva_Protein;_domain_3
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Beta	:Roll	:Transcriptional_Co-activator_pc4;_Chain_A
:Mainly_Alpha	:Up-down_Bundle	:de_novo_design_(two_linked_rop_proteins)
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Peroxisomal_Thiolase;_Chain_A,_domain_1
:Mainly_Beta	:Ribbon	:Hormone_Receptor,_Insulin-like_Growth_Factor_Receptor_1;_Chain_A_domain_2
:Mainly_Alpha	:Up-down_Bundle	:NADPH-cytochrome_p450_Reductase;_Chain_A,_domain_3
:Mainly_Beta	:Ribbon	:Laminin
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Collagenase_(Catalytic_Domain)
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:2-Layer_Sandwich	:archaeoglobus_fulgidus_dsm_4304_fold
:Mainly_Beta	:Clam	:outer_membrane_lipoprotein_receptor_(LolB),_chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:Non-ribosomal_Peptide_Synthetase_Peptidyl_Carrier_Protein;_Chain_A
:Alpha_Beta	:2-Layer_Sandwich	:Dna_Ligase;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Mainly_Alpha	:Orthogonal_Bundle	:Vanadium-containing_Chloroperoxidase;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aldehyde_Dehydrogenase;_Chain_A,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Mainly_Alpha	:Orthogonal_Bundle	:Lysozyme
:Alpha_Beta	:Roll	:Thiol_Ester_Dehydrase;_Chain_A
:Mainly_Beta	:Ribbon	:Complement_Module;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S8;_Chain:_A,_domain_1
:Mainly_Alpha	:Alpha/alpha_barrel	:Glycosyltransferase
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:Alpha-Beta_Complex	:hypothetical_protein_yedk_fold
:Alpha_Beta	:Alpha-Beta_Complex	:Aspartate_Aminotransferase,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Beta_Polymerase;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Beta_Barrel	:Elongation_Factor_Tu_(Ef-tu);_domain_3
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Roll	:Mannose-Binding_Protein_A;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:Non-ribosomal_Peptide_Synthetase_Peptidyl_Carrier_Protein;_Chain_A
:Alpha_Beta	:Roll	:Chitinase_A;_domain_3
:Mainly_Alpha	:Orthogonal_Bundle	:Variant_Surface_Glycoprotein,_subunit_A;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Beta_Polymerase;_domain_2
:Mainly_Alpha	:Up-down_Bundle	:Growth_Hormone;_Chain:_A;
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Mainly_Beta	:Beta_Barrel	:Lipocalin
:Mainly_Alpha	:Orthogonal_Bundle	:Recoverin;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Roll	:Pdz3_Domain
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Uridine_Diphospho-n-acetylenolpyruvylglucosamine_Reductase;_domain_3
:Mainly_Beta	:Trefoil	:Trefoil_(Acidic_Fibroblast_Growth_Factor,_subunit_A)
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Mainly_Alpha	:Orthogonal_Bundle	:Transferase(Phosphotransferase);_domain_1
:Alpha_Beta	:Alpha-Beta_Complex	:Spore_Coat_Polysaccharide_Biosynthesis_Protein_SpsA;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:Non-ribosomal_Peptide_Synthetase_Peptidyl_Carrier_Protein;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:Lysozyme
:Mainly_Alpha	:Orthogonal_Bundle	:Guanine_Nucleotide_Dissociation_Inhibitor;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Peroxidase;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Mainly_Alpha	:Orthogonal_Bundle	:Transferase(Phosphotransferase);_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Transferase(Phosphotransferase);_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Hypothetical_protein_af1432
:Mainly_Alpha	:Up-down_Bundle	:Heme_Oxygenase;_Chain_A
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:2-Layer_Sandwich	:Uridine_Diphospho-n-acetylenolpyruvylglucosamine_Reductase;_domain_3
:Mainly_Beta	:Single_Sheet	:Rubrerythrin,_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Protein_Transport_Mog1p;_Chain_A
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Ribbon	:Complement_Module;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Ribonucleotide_Reductase_Protein_R1;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Triple-stranded_beta-helix
:Mainly_Beta	:Beta_Barrel	:Thrombin,_subunit_H
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:2-Layer_Sandwich	:Aldehyde_Oxidoreductase;_domain_4
:Mainly_Alpha	:Orthogonal_Bundle	:Cytochrome_p450
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Mainly_Beta	:Sandwich	:Lipoxygenase-1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Roll	:duf1285_protein_fold
:Mainly_Beta	:Single_Sheet	:Glycosyl_hydrolase_fold
:Mainly_Beta	:Roll	:PH-domain_like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:4-Layer_Sandwich	:Glutamine_Phosphoribosylpyrophosphate,_subunit_1,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Ribbon	:Cysteine_Rich_Protein
:Alpha_Beta	:2-Layer_Sandwich	:Mth169;_Chain:_A_,
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:Alpha-Beta_Complex	:Outer_Surface_Protein_A;_domain_3
:Mainly_Beta	:Trefoil	:Trefoil_(Acidic_Fibroblast_Growth_Factor,_subunit_A)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Roll	:Urease,_subunit_C;_domain_1
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Alpha_Beta	:2-Layer_Sandwich	:Herpes_Virus-1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Beta-lactamase
:Mainly_Beta	:Roll	:PH-domain_like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:2-Layer_Sandwich	:Wheat_Germ_Agglutinin_(Isolectin_2);_domain_1
:Alpha_Beta	:4-Layer_Sandwich	:Nitrilase/N-carbamoyl-D-aminoacid_amidohydrolase
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:Alpha-Beta_Complex	:Nucleoside_Triphosphate_Pyrophosphohydrolase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Peroxisomal_Thiolase;_Chain_A,_domain_1
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Complex	:UDP-galactose_4-epimerase;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Cytochrome_p450
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:oxygen-dependent_coproporphyrinogen_oxidase
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:2-Layer_Sandwich	:GMP_Synthetase;_Chain_A,_domain_3
:Mainly_Alpha	:Orthogonal_Bundle	:Actin-binding_Protein,_T-fimbrin;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Globin-like
:Alpha_Beta	:2-Layer_Sandwich	:Antithrombin;_Chain_I,_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Mainly_Alpha	:Up-down_Bundle	:cAMP-dependent_Protein_Kinase,_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Single_Sheet	:Rubrerythrin,_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aspartate_Aminotransferase;_domain_2
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Roll	:Mannose-Binding_Protein_A;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:Alpha-Beta_Complex	:Aspartate_Aminotransferase,_domain_1
:Mainly_Beta	:Beta_Barrel	:Barwin-like_endoglucanases
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Phosphorylase_Kinase;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:Alpha-Beta_Complex	:UDP-galactose_4-epimerase;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Alpha	:Orthogonal_Bundle	:Recoverin;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Roll	:Nuclear_Transport_Factor_2;_Chain:_A,
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Pyruvate_Kinase;_Chain:_A,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S8;_Chain:_A,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aldehyde_Dehydrogenase;_Chain_A,_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:D-Amino_Acid_Oxidase;_Chain_A,_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Alpha	:Up-down_Bundle	:cAMP-dependent_Protein_Kinase,_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
